purpose,borrower_count,actual_default_rate,total_lgd,avg_lgd,total_ead,avg_ead,total_expected_loss,avg_expected_loss,total_risk_adjusted_return,avg_risk_adjusted_return
car,441,0.1927437641723356,258.2362147815668,0.5855696480307637,3978100,9020.63492063492,1056741.8031281591,2396.2399163903833,-540793.0781281592,-1226.2881590207692
credit_card,8738,0.18951705195696955,5086.34607476334,0.5820949959674228,128972525,14759.9593728542,31972871.75227996,3659.060626262298,-16198238.567279957,-1853.76957739528
debt_consolidation,23248,0.23236407432897455,13996.406497440892,0.6020477674398181,358433775,15417.832716792842,107171700.18415168,4609.932045085671,-56213709.78415168,-2418.001969380234
educational,10,0.1,5.726864095970122,0.5726864095970121,64100,6410.0,9609.54822514595,960.9548225145951,-2402.728225145952,-240.2728225145952
home_improvement,2564,0.19422776911076442,1520.4423828755068,0.5929962491714145,36308925,14161.047191887676,9620320.31909157,3752.07500744601,-4719077.524091569,-1840.5138549499097
house,212,0.23113207547169812,131.18491728588933,0.6187967796504213,3284400,15492.452830188678,1051382.5703389214,4959.3517468817045,-543392.7228389214,-2563.173220938308
major_purchase,874,0.20938215102974828,516.627772311065,0.5911072909737586,10018450,11462.757437070939,2899590.76005951,3317.6095652854806,-1524328.4475595097,-1744.0828919445191
medical,490,0.25510204081632654,297.0716597040123,0.6062686932734944,4503725,9191.275510204081,1365519.3939090255,2786.7742732837255,-709584.6764090256,-1448.1319926714807
moving,298,0.28187919463087246,183.42838667079323,0.6155314988952792,2363725,7931.963087248322,747900.0305317411,2509.7316460796683,-381150.448031741,-1279.028349099802
other,2279,0.23562966213251427,1396.9312252288692,0.6129579750894555,22474075,9861.375603334796,7128134.348197274,3127.746532776338,-3673397.6606972744,-1611.8462749878342
renewable_energy,27,0.2222222222222222,16.96133177106901,0.6281974730025559,310175,11487.962962962964,106658.50350338711,3950.3149445698928,-58603.901003387116,-2170.5148519773006
small_business,474,0.33122362869198313,298.29372504806963,0.6293116562195562,7340550,15486.39240506329,2719337.9767740453,5736.999951000095,-1523495.3192740453,-3214.125146147775
vacation,274,0.23722627737226276,166.41353676907772,0.6073486743396997,1693125,6179.288321167884,504355.337496162,1840.7129105699341,-258232.829996162,-942.4555839275986
wedding,71,0.16901408450704225,42.929124411582215,0.6046355550927073,796650,11220.422535211268,182521.88481072543,2570.7307719820483,-70943.28231072545,-999.2011593059923
