feature,mean_abs_shap
sub_grade_num,0.3104576048879322
issue_year,0.2324357252520795
total_rec_late_fee,0.18266352891531176
term_months,0.18246006052065267
grade_num,0.07907710093398905
acc_open_past_24mths,0.0761999316001633
avg_cur_bal,0.06881623400675485
financial_stability_Score,0.06848011121194157
creditworthiness_score,0.06416976556152237
num_actv_rev_tl,0.05812213996929991
home_ownership_RENT,0.04994467616934834
int_rate,0.04929348679441102
total_rev_hi_lim,0.03880932402582771
emp_length_10+ years,0.03764867623544526
loan_to_income_ratio,0.03728749553434386
repayment_capacity_score,0.035258179676534405
mort_acc,0.034348940521305146
home_ownership_MORTGAGE,0.033536187440529996
mths_since_recent_inq,0.032360567229737465
mths_since_recent_bc,0.032087116037277166
mo_sin_old_rev_tl_op,0.03147100962748462
dti,0.030763286002352442
dti_clean,0.029976006114709998
issue_month,0.02880994066310162
tot_hi_cred_lim,0.02801676630188687
num_il_tl,0.02423110790913345
credit_history_months,0.023868937468036193
annual_inc,0.023557217145373725
num_rev_tl_bal_gt_0,0.021186300591024564
bc_open_to_buy,0.020747104271396206
inq_last_6mths,0.01907985653839115
total_bc_limit,0.018668337727245653
open_acc_to_total_acc_ratio,0.016629845155794
funded_to_income_ratio,0.015858508167349156
percent_bc_gt_75,0.0156429336566399
emp_length_num,0.014790274559624134
addr_state_CO,0.0144207475983238
num_actv_bc_tl,0.014355651205055065
revol_bal_to_income_ratio_capped,0.014010796132365024
delinq_2yrs,0.01334803277208764
num_tl_op_past_12m,0.013117799618691242
total_il_high_credit_limit,0.012361363704774527
debt_burden_score_capped,0.011672497433630314
installment,0.011667762220098118
total_acc,0.0114126155342393
revol_bal_to_income_ratio,0.01031391265709902
tot_cur_bal,0.009630288771114113
debt_burden_score,0.00931472641841134
loan_amnt,0.009154364323538508
addr_state_OR,0.009152204123719008
mo_sin_old_il_acct,0.009078923354500392
bc_util,0.00890377014623127
mo_sin_rcnt_tl,0.008543250779965926
funded_amnt_inv,0.00812942929050777
addr_state_WA,0.006807109853811826
installment_to_income_ratio,0.006745482163431603
num_rev_accts,0.0066778441709054665
addr_state_GA,0.00644962589886373
pct_tl_nvr_dlq,0.006250321660830173
num_bc_sats,0.006135791927883509
addr_state_CA,0.006019164034222367
installment_to_income_ratio_capped,0.0059976901928824955
purpose_small_business,0.005925481327558007
mo_sin_rcnt_rev_tl_op,0.005844076678102983
verification_status_Verified,0.005615037530197327
revol_util,0.004563791819961508
funded_amnt,0.0044264515384962785
tot_coll_amt,0.004347862485881883
purpose_debt_consolidation,0.0042949705016121845
addr_state_IL,0.0042859560788330465
dti_rank,0.0042015433557061445
addr_state_NY,0.004004833887364475
total_bal_ex_mort,0.003972592461156929
num_bc_tl,0.003827926590453991
revol_bal,0.0037862420899576294
num_tl_90g_dpd_24m,0.0032073339843585783
installment_to_income_rank,0.0026193089305036575
num_accts_ever_120_pd,0.0026073808295186004
loan_to_income_ratio_capped,0.0022083967801156943
num_op_rev_tl,0.00220357585544786
annual_inc_clean,0.0021802579890526316
addr_state_CT,0.002020796943020429
addr_state_NH,0.0019843535675188174
addr_state_NJ,0.0018765720814989638
